nct_id,overallStatus,study_type,why_stopped
NCT00000105,TERMINATED,OBSERVATIONAL,Replaced by another study.
NCT00000270,WITHDRAWN,INTERVENTIONAL,Study never opened; never enrolled participants
NCT00000305,TERMINATED,INTERVENTIONAL,Original P.I. left the institution
NCT00000309,TERMINATED,INTERVENTIONAL,Unable to recruit adequate number of subjects
NCT00000340,WITHDRAWN,INTERVENTIONAL,Study was never funded.
NCT00000372,WITHDRAWN,INTERVENTIONAL,"Pairing D-Cycloserine with Clozapine was found to worsen negative side effects in patients with Schizophrenia, so the study was suspended."
NCT00000460,WITHDRAWN,OBSERVATIONAL,due to lack of enrollment
NCT00000577,WITHDRAWN,INTERVENTIONAL,Record is an ACRN grant summary \& not reflective of an individual trial. All ACTs conducted by ACRN were individually registered on the PRS.
NCT00001080,WITHDRAWN,INTERVENTIONAL,as of 4/23/97
NCT00001151,TERMINATED,INTERVENTIONAL,Terminated because of lack of drug supply
NCT00001219,TERMINATED,OBSERVATIONAL,protocol has not been used for many years and has outlived it utility
NCT00001349,TERMINATED,OBSERVATIONAL,Closed at the request of the IRBO
NCT00001651,TERMINATED,INTERVENTIONAL,Slow/Insufficient accrual
NCT00001703,TERMINATED,INTERVENTIONAL,Due to poor accrual and lack of peptide vaccine
NCT00001788,TERMINATED,OBSERVATIONAL,Investigator left NIH
NCT00001803,TERMINATED,OBSERVATIONAL,IRB approval lapsed and PI has not responded to requests to submit CR.
NCT00001850,TERMINATED,OBSERVATIONAL,Terminated at the direction of the NIH IRBO.
NCT00001880,TERMINATED,INTERVENTIONAL,Study was closed early due to lack of accrual
NCT00001962,TERMINATED,INTERVENTIONAL,DSMB recommended closing the study and publishing the results
NCT00001978,TERMINATED,OBSERVATIONAL,All analysis with identifiable specimens/data is complete or site has no identifiers linked to the specimens/data
NCT00002525,TERMINATED,INTERVENTIONAL,The study was stopped before reaching its accrual goal due to slow accrual
NCT00002664,WITHDRAWN,INTERVENTIONAL,No recruitment
NCT00002668,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00002735,TERMINATED,INTERVENTIONAL,Terminated due to poor accrual.
NCT00002761,WITHDRAWN,INTERVENTIONAL,PI left institution
NCT00002772,TERMINATED,INTERVENTIONAL,poor accrual
NCT00002778,TERMINATED,INTERVENTIONAL,subject accrual and data analysis is completed.
NCT00002796,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00002863,TERMINATED,INTERVENTIONAL,Insufficient Accrual
NCT00002899,TERMINATED,INTERVENTIONAL,Low accrual
NCT00002921,TERMINATED,INTERVENTIONAL,Permanently Closed Due to Lack of Accrual
NCT00002934,TERMINATED,INTERVENTIONAL,This study was terminated when the accrual goal for the low/intermediate grade stratum was reached. The high grade stratum was closed due to slow accrual.
NCT00002961,TERMINATED,INTERVENTIONAL,poor accrual
NCT00003009,TERMINATED,INTERVENTIONAL,Insufficient Accrual
NCT00003040,TERMINATED,INTERVENTIONAL,Poor accrual
NCT00003056,TERMINATED,INTERVENTIONAL,Interim analysis indicated study should be terminated
NCT00003060,TERMINATED,INTERVENTIONAL,lack of patient accrual
NCT00003085,TERMINATED,INTERVENTIONAL,Insufficient Accrual
NCT00003086,TERMINATED,INTERVENTIONAL,no participants enrolled in a three year period
NCT00003094,WITHDRAWN,INTERVENTIONAL,"Study was halted prematurely, prior to enrollment of first participant"
NCT00003147,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00003152,TERMINATED,INTERVENTIONAL,low accrual
NCT00003194,TERMINATED,INTERVENTIONAL,Study enrollment did not meet expected goals
NCT00003223,TERMINATED,INTERVENTIONAL,Closed due to poor accrual.
NCT00003292,TERMINATED,INTERVENTIONAL,lack of accrual
NCT00003365,TERMINATED,INTERVENTIONAL,Study completed
NCT00003381,TERMINATED,OBSERVATIONAL,companion study to CALGB-9781 which closed administratively due to poor accrual
NCT00003405,WITHDRAWN,INTERVENTIONAL,No enrollment
NCT00003407,WITHDRAWN,INTERVENTIONAL,The P.I deceased.
NCT00003432,TERMINATED,INTERVENTIONAL,low accrual
NCT00003452,TERMINATED,INTERVENTIONAL,slow enrollment
