overallstatus,study_type,lemmatize_text,nct_id,raw_text,trial_no_longer_needed,inadequate_study_design_or_study_redesign,efficacy,logistics,business_or_sponsor_reason,negligence_or_recommandation_of_legalities,organizational_issues,safety_ethics_aes,category,others,enrollment_related,pi_related,slow_accrual,funding_related,added_by_error,study_competition,covid-19_and_similar_epidemic_related,completed_early_or_truncated_completion
TERMINATED,OBSERVATIONAL,replace another study,NCT00000105,Replaced by another study.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
WITHDRAWN,INTERVENTIONAL,study never open never enrollment patient,NCT00000270,Study never opened; never enrolled participants,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,original investigator leave institution,NCT00000305,Original P.I. left the institution,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,unable enrollment adequate number patient,NCT00000309,Unable to recruit adequate number of subjects,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study never funded,NCT00000340,Study was never funded.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WITHDRAWN,INTERVENTIONAL,pairing cycloserine clozapine find worsen negative aes patient schizophrenia study suspend,NCT00000372,"Pairing D-Cycloserine with Clozapine was found to worsen negative side effects in patients with Schizophrenia, so the study was suspended.",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,OBSERVATIONAL,due lack enrollment,NCT00000460,due to lack of enrollment,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,record acrn grant summary not reflective individual trial act conduct acrn individually register pr,NCT00000577,Record is an ACRN grant summary & not reflective of an individual trial. All ACTs conducted by ACRN were individually registered on the PRS.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
WITHDRAWN,INTERVENTIONAL,or or,NCT00001080,as of 4/23/97,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,terminate lack drug supply,NCT00001151,Terminated because of lack of drug supply,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,protocol not use many year outlived utility,NCT00001219,protocol has not been used for many years and has outlived it utility,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,close request irbo,NCT00001349,Closed at the request of the IRBO,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low or low accrual,NCT00001651,Slow/Insufficient accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,due low accrual lack peptide vaccine,NCT00001703,Due to poor accrual and lack of peptide vaccine,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,OBSERVATIONAL,investigator leave nih,NCT00001788,Investigator left NIH,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,irb approval lapsed investigator not respond request submit cr,NCT00001803,IRB approval lapsed and PI has not responded to requests to submit CR.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,terminate direction nih irbo,NCT00001850,Terminated at the direction of the NIH IRBO.,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study close early due lack accrual,NCT00001880,Study was closed early due to lack of accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,dsmb recommend close study publish result,NCT00001962,DSMB recommended closing the study and publishing the results,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
TERMINATED,OBSERVATIONAL,analysis identifiable specimen or data complete or site no identifier linked specimen or data,NCT00001978,All analysis with identifiable specimens/data is complete or site has no identifiers linked to the specimens/data,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study stop before reach accrual goal due low accrual,NCT00002525,The study was stopped before reaching its accrual goal due to slow accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,no enrollment,NCT00002664,No recruitment,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low accrual,NCT00002668,Slow accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,terminate due low accrual,NCT00002735,Terminated due to poor accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,investigator leave institution,NCT00002761,PI left institution,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
