generated_smiles,is_valid,length,druglikeness_proxy
cOc1cNc1,True,8,2.0
CCNO,True,4,1.5
(CNOC,True,5,1.5
COCC)N,True,6,1.5
COCNCC),True,7,1.5
COC,True,3,1.0
CCN,True,3,1.0
CCO,True,3,1.0
OCC),True,4,1.0
C(N=,True,4,1.0
CCCO,True,4,1.0
BCOO,True,4,1.0
CC1N,True,4,1.0
CC(O,True,4,1.0
COC)C,True,5,1.0
#CcCO,True,5,1.0
OrSCC,True,5,1.0
CCNNC,True,5,1.0
NCCCN,True,5,1.0
C(OC1,True,5,1.0
c1cc1,True,5,1.0
CCCO1,True,5,1.0
OC)CC,True,5,1.0
CCCCO,True,5,1.0
CNCNCN,True,6,1.0
C)C)CN,True,6,1.0
CCC(CO,True,6,1.0
C)COCO,True,6,1.0
CCOCCB,True,6,1.0
CCCOCC,True,6,1.0
CSC(CO,True,6,1.0
CCNC(=,True,6,1.0
CCO((CO,True,7,1.0
C(COC)C,True,7,1.0
B=CCOCO,True,7,1.0
(C1OrC),True,7,1.0
CC(=O)O,True,7,1.0
CC((OOC,True,7,1.0
CC)COCC,True,7,1.0
CC(C))O,True,7,1.0
1CCCO)O,True,7,1.0
rCOC(CO,True,7,1.0
OCC(OO)1,True,8,1.0
COcC)=)CS,True,9,1.0
CC(CC)COC,True,9,1.0
CCC((C)O#,True,9,1.0
(C)C)(C)(C))N,True,13,1.0
O,True,1,0.5
CO,True,2,0.5
CCC,True,3,0.5
CC1,True,3,0.5
CC(,True,3,0.5
1CC,True,3,0.5
CC),True,3,0.5
(CS,True,3,0.5
C#C,True,3,0.5
CCCC,True,4,0.5
CC(C,True,4,0.5
=C(C,True,4,0.5
CC(S,True,4,0.5
CCC(C,True,5,0.5
CBC(B,True,5,0.5
C(C)),True,5,0.5
CC(C),True,5,0.5
CC=C),True,5,0.5
CC))l,True,5,0.5
CC)C)C,True,6,0.5
C(CC)),True,6,0.5
CCC)CCC,True,7,0.5
CC)CCCC),True,8,0.5
B,True,1,0.0
CC,True,2,0.0
CCOnN,False,5,1.5
CC)NnO,False,6,1.5
o#o()SC)(=cOcCN,False,15,1.5
N(o,False,3,1.0
CCOnC=#,False,7,1.0
No,False,2,0.5
CCC(C)o#,False,8,0.5
cccBc)ncc,False,9,0.5
,False,0,0.0
o1,False,2,0.0
