endpoint,split,n_total,n_positive,n_negative,positive_rate
hERG,train,521,366,155,0.7024952015355086
hERG,validation,65,42,23,0.6461538461538462
hERG,test,65,39,26,0.6
BBBP,train,1631,1256,375,0.7700797057020233
BBBP,validation,204,154,50,0.7549019607843137
BBBP,test,204,150,54,0.7352941176470589
ClinTox,train,1184,1102,82,0.9307432432432432
ClinTox,validation,148,140,8,0.9459459459459459
ClinTox,test,148,144,4,0.972972972972973
Tox21,train,5806,281,5525,0.04839820874956941
Tox21,validation,726,17,709,0.023415977961432508
Tox21,test,726,10,716,0.013774104683195593
