smiles,validity_proxy,lipinski_proxy,admet_score,uncertainty,reliability
OCC(OO)1,1.0,0.875,0.5368,0.0104,Medium
CC(=O)O,1.0,0.8333,0.5133,0.0034,High
CC(CC)COC,1.0,0.7917,0.5014,0.0034,High
C(COC)C,1.0,0.7917,0.5,0.004,High
(C1OrC),1.0,0.7917,0.5,0.004,High
o#o()SC)(=cOcCN,0.0,0.0,0.4896,0.0043,High
COcC)=)CS,0.0,0.0,0.4853,0.0072,High
CCC((C)O#,0.0,0.0,0.485,0.0074,High
CCO((CO,0.0,0.0,0.4843,0.008,High
CC((OOC,0.0,0.0,0.4843,0.008,High
CCC(C)o#,0.0,0.0,0.4835,0.0088,High
CC(C))O,0.0,0.0,0.4835,0.0088,High
(C)C)(C)(C))N,0.0,0.0,0.4794,0.0081,High
CC)CCCC),0.0,0.0,0.4778,0.0088,High
C)C)CN,0.0,0.0,0.4776,0.009,High
CC)C)C,0.0,0.0,0.477,0.0093,High
C(CC)),0.0,0.0,0.477,0.0093,High
CC(C),1.0,0.75,0.4758,0.0102,Medium
C(C)),0.0,0.0,0.469,0.0149,Low
CC))l,0.0,0.0,0.469,0.0149,Low
cOc1cNc1,1.0,0.8333,0.4682,0.0131,Medium
CNCNCN,1.0,0.875,0.4644,0.0228,Low
B=CCOCO,1.0,0.8333,0.4532,0.0228,Low
cccBc)ncc,0.0,0.0,0.4513,0.0108,Medium
CCNNC,1.0,0.8333,0.4495,0.0127,Medium
NCCCN,1.0,0.8333,0.4495,0.0127,Medium
c1cc1,1.0,0.75,0.4462,0.0031,High
CCOCCB,1.0,0.7917,0.4457,0.0185,Low
CCCOCC,1.0,0.7917,0.4457,0.0185,Low
CCC)CCC,0.0,0.0,0.444,0.0133,Medium
CCNC(=,0.0,0.0,0.443,0.0124,Medium
CCCO1,1.0,0.7917,0.44,0.0091,High
1CCCO)O,0.0,0.0,0.44,0.0207,Low
#CcCO,1.0,0.7917,0.4395,0.0097,High
COCNCC),0.0,0.0,0.4392,0.0199,Low
rCOC(CO,0.0,0.0,0.439,0.0198,Low
CC)COCC,0.0,0.0,0.4383,0.0194,Low
OrSCC,1.0,0.7917,0.4382,0.0112,Medium
CCCCO,1.0,0.7917,0.4382,0.0112,Medium
CC)NnO,0.0,0.0,0.4376,0.0188,Low
COCC)N,0.0,0.0,0.4373,0.0186,Low
C)COCO,0.0,0.0,0.4371,0.0185,Low
CCC(CO,0.0,0.0,0.4364,0.0181,Low
CSC(CO,0.0,0.0,0.4364,0.0181,Low
C(N=,0.0,0.0,0.4329,0.0137,Medium
CC=C),0.0,0.0,0.4326,0.0144,Low
CCC(C,0.0,0.0,0.4324,0.0144,Low
CBC(B,0.0,0.0,0.4324,0.0144,Low
=C(C,0.0,0.0,0.4321,0.0138,Medium
CC(C,0.0,0.0,0.4319,0.0138,Low
CC(S,0.0,0.0,0.4319,0.0138,Low
CC(,0.0,0.0,0.4316,0.0135,Medium
CC),0.0,0.0,0.4316,0.0135,Medium
(CS,0.0,0.0,0.4316,0.0135,Medium
(CNOC,0.0,0.0,0.4275,0.0202,Low
C(OC1,0.0,0.0,0.4273,0.0213,Low
N(o,0.0,0.0,0.427,0.0196,Low
COC)C,0.0,0.0,0.4263,0.02,Low
OC)CC,0.0,0.0,0.4263,0.02,Low
OCC),0.0,0.0,0.4258,0.0194,Low
CC(O,0.0,0.0,0.4258,0.0194,Low
CCOnC=#,0.0,0.0,0.4256,0.018,Low
CC1N,1.0,0.5417,0.4214,0.0076,High
CC1,1.0,0.5,0.4199,0.0073,High
1CC,1.0,0.5,0.4199,0.0073,High
CCCC,1.0,0.5,0.4189,0.0082,High
CCN,1.0,0.5417,0.4188,0.0099,Medium
CCC,1.0,0.5,0.4182,0.009,High
CC,1.0,0.5,0.4182,0.009,High
B,1.0,0.5,0.4182,0.009,High
C#C,1.0,0.5,0.4182,0.009,High
CCOnN,0.0,0.0,0.4135,0.0119,Medium
BCOO,1.0,0.5833,0.4131,0.0123,Medium
o1,0.0,0.0,0.413,0.0104,Medium
CCNO,1.0,0.5833,0.413,0.0121,Medium
No,0.0,0.0,0.4123,0.0125,Medium
CCCO,1.0,0.5417,0.4107,0.0113,Medium
COC,1.0,0.5417,0.41,0.0118,Medium
O,1.0,0.5417,0.41,0.0118,Medium
CO,1.0,0.5417,0.41,0.0118,Medium
CCO,1.0,0.5417,0.41,0.0118,Medium
