smiles,length,n_count,o_count,halogen_count,ring_digit_count,branch_count,double_bond_count,aromatic_count,validity_proxy,lipinski_proxy
(C)C)(C)(C))N,13,1,0,0,0,8,0,0,0.0,0.0
CCC,3,0,0,0,0,0,0,0,1.0,0.5
CCO((CO,7,0,2,0,0,2,0,0,0.0,0.0
C(COC)C,7,0,1,0,0,2,0,0,1.0,0.7917
CC)C)C,6,0,0,0,0,2,0,0,0.0,0.0
CNCNCN,6,3,0,0,0,0,0,0,1.0,0.875
C)C)CN,6,1,0,0,0,2,0,0,0.0,0.0
COC)C,5,0,1,0,0,1,0,0,0.0,0.0
CCOnN,5,2,1,0,0,0,0,1,0.0,0.0
CCC(C,5,0,0,0,0,1,0,0,0.0,0.0
COC,3,0,1,0,0,0,0,0,1.0,0.5417
CCC(CO,6,0,1,0,0,1,0,0,0.0,0.0
CBC(B,5,0,0,0,0,1,0,0,0.0,0.0
CCCC,4,0,0,0,0,0,0,0,1.0,0.5
No,2,1,1,0,0,0,0,1,0.0,0.0
B=CCOCO,7,0,2,0,0,0,1,0,1.0,0.8333
CCN,3,1,0,0,0,0,0,0,1.0,0.5417
OCC),4,0,1,0,0,1,0,0,0.0,0.0
O,1,0,1,0,0,0,0,0,1.0,0.5417
CC,2,0,0,0,0,0,0,0,1.0,0.5
C)COCO,6,0,2,0,0,1,0,0,0.0,0.0
#CcCO,5,0,1,0,0,0,0,1,1.0,0.7917
(C1OrC),7,0,1,0,1,2,0,0,1.0,0.7917
CO,2,0,1,0,0,0,0,0,1.0,0.5417
OCC(OO)1,8,0,3,0,1,2,0,0,1.0,0.875
CC(=O)O,7,0,2,0,0,2,1,0,1.0,0.8333
CCOCCB,6,0,1,0,0,0,0,0,1.0,0.7917
C(N=,4,1,0,0,0,1,1,0,0.0,0.0
(CNOC,5,1,1,0,0,1,0,0,0.0,0.0
OrSCC,5,0,1,0,0,0,0,0,1.0,0.7917
CC(C,4,0,0,0,0,1,0,0,0.0,0.0
COcC)=)CS,9,0,1,0,0,2,1,1,0.0,0.0
CCNNC,5,2,0,0,0,0,0,0,1.0,0.8333
CC((OOC,7,0,2,0,0,2,0,0,0.0,0.0
CCCO,4,0,1,0,0,0,0,0,1.0,0.5417
o1,2,0,1,0,1,0,0,1,0.0,0.0
BCOO,4,0,2,0,0,0,0,0,1.0,0.5833
CC1,3,0,0,0,1,0,0,0,1.0,0.5
CCO,3,0,1,0,0,0,0,0,1.0,0.5417
C(C)),5,0,0,0,0,3,0,0,0.0,0.0
CC)COCC,7,0,1,0,0,1,0,0,0.0,0.0
CC)NnO,6,2,1,0,0,1,0,1,0.0,0.0
CCC(C)o#,8,0,1,0,0,2,0,1,0.0,0.0
COCC)N,6,1,1,0,0,1,0,0,0.0,0.0
CC(,3,0,0,0,0,1,0,0,0.0,0.0
cOc1cNc1,8,1,1,0,2,0,0,4,1.0,0.8333
CC)CCCC),8,0,0,0,0,2,0,0,0.0,0.0
1CC,3,0,0,0,1,0,0,0,1.0,0.5
CCC)CCC,7,0,0,0,0,1,0,0,0.0,0.0
CC(C))O,7,0,1,0,0,3,0,0,0.0,0.0
CCCOCC,6,0,1,0,0,0,0,0,1.0,0.7917
NCCCN,5,2,0,0,0,0,0,0,1.0,0.8333
C(OC1,5,0,1,0,1,1,0,0,0.0,0.0
COCNCC),7,1,1,0,0,1,0,0,0.0,0.0
1CCCO)O,7,0,2,0,1,1,0,0,0.0,0.0
=C(C,4,0,0,0,0,1,1,0,0.0,0.0
CC(CC)COC,9,0,1,0,0,2,0,0,1.0,0.7917
B,1,0,0,0,0,0,0,0,1.0,0.5
c1cc1,5,0,0,0,2,0,0,3,1.0,0.75
rCOC(CO,7,0,2,0,0,1,0,0,0.0,0.0
o#o()SC)(=cOcCN,15,1,3,0,0,4,1,4,0.0,0.0
CSC(CO,6,0,1,0,0,1,0,0,0.0,0.0
N(o,3,1,1,0,0,1,0,1,0.0,0.0
CC(C),5,0,0,0,0,2,0,0,1.0,0.75
CCOnC=#,7,1,1,0,0,0,1,1,0.0,0.0
C(CC)),6,0,0,0,0,3,0,0,0.0,0.0
CC=C),5,0,0,0,0,1,1,0,0.0,0.0
CCNC(=,6,1,0,0,0,1,1,0,0.0,0.0
CCCO1,5,0,1,0,1,0,0,0,1.0,0.7917
cccBc)ncc,9,1,0,0,0,1,0,7,0.0,0.0
CC),3,0,0,0,0,1,0,0,0.0,0.0
CC1N,4,1,0,0,1,0,0,0,1.0,0.5417
CCNO,4,1,1,0,0,0,0,0,1.0,0.5833
(CS,3,0,0,0,0,1,0,0,0.0,0.0
CC))l,5,0,0,0,0,2,0,0,0.0,0.0
CC(S,4,0,0,0,0,1,0,0,0.0,0.0
OC)CC,5,0,1,0,0,1,0,0,0.0,0.0
C#C,3,0,0,0,0,0,0,0,1.0,0.5
CCC((C)O#,9,0,1,0,0,3,0,0,0.0,0.0
CCCCO,5,0,1,0,0,0,0,0,1.0,0.7917
CC(O,4,0,1,0,0,1,0,0,0.0,0.0
