endpoint,model_family,model,representation,n_train,n_validation,n_test,accuracy,balanced_accuracy,f1,brier_score,roc_auc,average_precision
hERG,classical_logistic,logistic_rdkit_descriptors,descriptors,521.0,65.0,65,0.7846153846153846,0.7948717948717949,0.8055555555555556,0.150876252177179,0.8747534516765286,0.9021946410111864
hERG,classical_random_forest,random_forest_morgan,morgan_256,521.0,65.0,65,0.7076923076923077,0.641025641025641,0.8,0.1620534587977874,0.8856015779092703,0.9182724729586262
hERG,graphconv_gnn,graphconv_gnn,molecular_graph,521.0,65.0,65,0.5230769230769231,0.5897435897435898,0.392156862745098,0.2314326691759057,0.8185404339250493,0.8417968385953509
hERG,multitask_mlp,multitask_morgan_mlp,morgan_256,,,65,0.6153846153846154,0.5256410256410257,0.7524752475247525,0.2300316430550631,0.7928994082840237,0.8531715468791221
BBBP,classical_logistic,logistic_rdkit_descriptors,descriptors,1631.0,204.0,204,0.8382352941176471,0.8366666666666667,0.8842105263157894,0.1436002681907124,0.8730864197530864,0.9386946055941616
BBBP,classical_random_forest,random_forest_morgan,morgan_256,1631.0,204.0,204,0.8235294117647058,0.6844444444444444,0.8909090909090909,0.12903869925861,0.8556790123456791,0.930112734028773
BBBP,graphconv_gnn,graphconv_gnn,molecular_graph,1631.0,204.0,204,0.803921568627451,0.7659259259259259,0.8639455782312925,0.1523236396936894,0.842962962962963,0.9306682606676612
BBBP,multitask_mlp,multitask_morgan_mlp,morgan_256,,,204,0.696078431372549,0.6511111111111112,0.7832167832167832,0.229041410692505,0.7446913580246913,0.8793767865536013
ClinTox,classical_logistic,logistic_rdkit_descriptors,descriptors,1184.0,148.0,148,0.75,0.8715277777777778,0.852589641434263,0.1606294277405345,0.9010416666666669,0.997131068607402
ClinTox,classical_random_forest,random_forest_morgan,morgan_256,1184.0,148.0,148,0.9662162162162162,0.4965277777777778,0.9828178694158076,0.0263288581256614,0.9375,0.998218899527152
ClinTox,graphconv_gnn,graphconv_gnn,molecular_graph,1184.0,148.0,148,0.6824324324324325,0.7152777777777778,0.8065843621399177,0.1652482490377841,0.8541666666666666,0.995384806851488
ClinTox,multitask_mlp,multitask_morgan_mlp,morgan_256,,,148,0.1418918918918918,0.5590277777777778,0.2111801242236025,0.2810229644700789,0.7430555555555556,0.9913491858705584
Tox21,classical_logistic,logistic_rdkit_descriptors,descriptors,5806.0,726.0,726,0.7534435261707989,0.6284916201117319,0.0529100529100529,0.1801175722739723,0.7124301675977653,0.075539357262862
Tox21,classical_random_forest,random_forest_morgan,morgan_256,5806.0,726.0,726,0.9848484848484848,0.6472067039106145,0.3529411764705882,0.0143355980130524,0.6581005586592179,0.2601507574411285
Tox21,graphconv_gnn,graphconv_gnn,molecular_graph,5806.0,726.0,726,0.918732782369146,0.6136871508379889,0.0923076923076923,0.1093776300652735,0.6493016759776536,0.0966807674162917
Tox21,multitask_mlp,multitask_morgan_mlp,morgan_256,,,726,0.9449035812672176,0.6269553072625699,0.1304347826086956,0.1049256074061919,0.6358938547486033,0.3152853286108801
