endpoint,metric,winner_model_family,winner_model,winner_value
hERG,roc_auc,classical_random_forest,random_forest_morgan,0.8856015779092703
hERG,average_precision,classical_random_forest,random_forest_morgan,0.9182724729586262
hERG,balanced_accuracy,classical_logistic,logistic_rdkit_descriptors,0.7948717948717949
hERG,f1,classical_logistic,logistic_rdkit_descriptors,0.8055555555555556
hERG,accuracy,classical_logistic,logistic_rdkit_descriptors,0.7846153846153846
hERG,brier_score,classical_logistic,logistic_rdkit_descriptors,0.150876252177179
BBBP,roc_auc,classical_logistic,logistic_rdkit_descriptors,0.8730864197530864
BBBP,average_precision,classical_logistic,logistic_rdkit_descriptors,0.9386946055941616
BBBP,balanced_accuracy,classical_logistic,logistic_rdkit_descriptors,0.8366666666666667
BBBP,f1,classical_random_forest,random_forest_morgan,0.8909090909090909
BBBP,accuracy,classical_logistic,logistic_rdkit_descriptors,0.8382352941176471
BBBP,brier_score,classical_random_forest,random_forest_morgan,0.12903869925861
ClinTox,roc_auc,classical_random_forest,random_forest_morgan,0.9375
ClinTox,average_precision,classical_random_forest,random_forest_morgan,0.998218899527152
ClinTox,balanced_accuracy,classical_logistic,logistic_rdkit_descriptors,0.8715277777777778
ClinTox,f1,classical_random_forest,random_forest_morgan,0.9828178694158076
ClinTox,accuracy,classical_random_forest,random_forest_morgan,0.9662162162162162
ClinTox,brier_score,classical_random_forest,random_forest_morgan,0.0263288581256614
Tox21,roc_auc,classical_logistic,logistic_rdkit_descriptors,0.7124301675977653
Tox21,average_precision,multitask_mlp,multitask_morgan_mlp,0.3152853286108801
Tox21,balanced_accuracy,classical_random_forest,random_forest_morgan,0.6472067039106145
Tox21,f1,classical_random_forest,random_forest_morgan,0.3529411764705882
Tox21,accuracy,classical_random_forest,random_forest_morgan,0.9848484848484848
Tox21,brier_score,classical_random_forest,random_forest_morgan,0.0143355980130524
