endpoint,model,applicability_label,n,accuracy,roc_auc,average_precision,mean_uncertainty,mean_nearest_tanimoto
hERG,logistic_rdkit_descriptors,in_domain,16,0.75,0.7179487179487181,0.935947065754758,0.4561694854146773,0.6939
hERG,logistic_rdkit_descriptors,borderline,34,0.8235294117647058,0.9285714285714286,0.9555956121173512,0.5322826542442088,0.4176970588235293
hERG,logistic_rdkit_descriptors,out_of_domain,15,0.7333333333333333,0.8518518518518519,0.7662698412698412,0.3839893813141383,0.3123666666666666
hERG,random_forest_morgan,in_domain,16,0.8125,0.9487179487179488,0.9897435897435896,0.3773097201545419,0.6939
hERG,random_forest_morgan,borderline,34,0.7058823529411765,0.8821428571428571,0.8640987995922207,0.5943839779849907,0.4176970588235293
hERG,random_forest_morgan,out_of_domain,15,0.6,0.8333333333333334,0.8138888888888889,0.6585718450536739,0.3123666666666666
BBBP,logistic_rdkit_descriptors,in_domain,68,0.8676470588235294,0.9535573122529644,0.98090830737233,0.450846115515086,0.6829264705882352
BBBP,logistic_rdkit_descriptors,borderline,98,0.7959183673469388,0.7458242556281771,0.9202764999838092,0.4905711997712866,0.4361102040816327
BBBP,logistic_rdkit_descriptors,out_of_domain,38,0.8947368421052632,0.927536231884058,0.9496077570678332,0.5493446636661619,0.3126921052631578
BBBP,random_forest_morgan,in_domain,68,0.9264705882352942,0.9471343873517788,0.9610757721763156,0.3130269555511218,0.6829264705882352
BBBP,random_forest_morgan,borderline,98,0.8367346938775511,0.7933914306463326,0.9318031799520448,0.3538372624834107,0.4361102040816327
BBBP,random_forest_morgan,out_of_domain,38,0.6052631578947368,0.7652173913043478,0.8515351799882813,0.3483806512987918,0.3126921052631578
ClinTox,logistic_rdkit_descriptors,in_domain,49,0.7142857142857143,0.7916666666666666,0.995298702095978,0.454495644305284,0.6848612244897959
ClinTox,logistic_rdkit_descriptors,borderline,62,0.8225806451612904,0.9416666666666668,0.998024728907637,0.4921324560723152,0.4256758064516129
ClinTox,logistic_rdkit_descriptors,out_of_domain,37,0.6756756756756757,0.9166666666666666,0.9976839935173268,0.5246638112398935,0.2939783783783783
ClinTox,random_forest_morgan,in_domain,49,0.9591836734693876,0.9375,0.9986975397428476,0.128533856228236,0.6848612244897959
ClinTox,random_forest_morgan,borderline,62,0.967741935483871,0.9083333333333332,0.9968299209108392,0.1134606710310547,0.4256758064516129
ClinTox,random_forest_morgan,out_of_domain,37,0.972972972972973,0.9444444444444444,0.9984776443109776,0.1525447270631392,0.2939783783783783
Tox21,logistic_rdkit_descriptors,in_domain,323,0.8080495356037152,0.7409584086799277,0.0854921219724458,0.4850368648889728,0.7467195046439628
Tox21,logistic_rdkit_descriptors,borderline,327,0.7217125382262997,0.73559670781893,0.1664417453891138,0.6169781756649514,0.4447923547400612
Tox21,logistic_rdkit_descriptors,out_of_domain,76,0.6578947368421053,,,0.4972504106539107,0.2967565789473684
Tox21,random_forest_morgan,in_domain,323,0.9752321981424148,0.7685352622061483,0.3722571481112022,0.0752096287182094,0.7467195046439628
Tox21,random_forest_morgan,borderline,327,0.9908256880733946,0.5087448559670782,0.0231239919659514,0.0668091647622704,0.4447923547400612
Tox21,random_forest_morgan,out_of_domain,76,1.0,,,0.0697539628375968,0.2967565789473684
