endpoint,model,reliability_label,n,fraction_of_test,accuracy,mean_uncertainty,mean_probability,mean_nearest_tanimoto
hERG,logistic_rdkit_descriptors,HIGH,6,0.0923076923076923,1.0,0.1615117720574052,0.9192441139712972,0.6820333333333334
hERG,logistic_rdkit_descriptors,MEDIUM,31,0.4769230769230769,0.8064516129032258,0.4296129945723486,0.5284193025361283,0.4602451612903226
hERG,logistic_rdkit_descriptors,LOW,13,0.2,0.6923076923076923,0.8545575805269772,0.4570222632681957,0.534176923076923
hERG,logistic_rdkit_descriptors,REVIEW,15,0.2307692307692307,0.7333333333333333,0.3839893813141383,0.4541592327793019,0.3123666666666666
hERG,random_forest_morgan,HIGH,9,0.1384615384615384,1.0,0.1705012256211268,0.9147493871894364,0.6915777777777776
hERG,random_forest_morgan,MEDIUM,25,0.3846153846153846,0.88,0.4550022800467141,0.6936703914188851,0.451748
hERG,random_forest_morgan,LOW,16,0.2461538461538461,0.375,0.8335276713877722,0.5469861643061139,0.4866375
hERG,random_forest_morgan,REVIEW,15,0.2307692307692307,0.6,0.6585718450536739,0.6204992629294049,0.3123666666666666
BBBP,logistic_rdkit_descriptors,HIGH,23,0.1127450980392156,0.8695652173913043,0.1132986852031081,0.2712837834607105,0.7073695652173914
BBBP,logistic_rdkit_descriptors,MEDIUM,102,0.5,0.8627450980392157,0.4058724025447235,0.6616334757775418,0.5017872549019607
BBBP,logistic_rdkit_descriptors,LOW,41,0.2009803921568627,0.7073170731707317,0.8470404539848454,0.5232636197133583,0.5299024390243903
BBBP,logistic_rdkit_descriptors,REVIEW,38,0.1862745098039215,0.8947368421052632,0.5493446636661619,0.5556745894222977,0.3126921052631578
BBBP,random_forest_morgan,HIGH,37,0.1813725490196078,0.972972972972973,0.1436666517199763,0.840509695939472,0.6878297297297298
BBBP,random_forest_morgan,MEDIUM,113,0.553921568627451,0.8761061946902655,0.3302974346238543,0.7838125527106206,0.4890991150442478
BBBP,random_forest_morgan,LOW,16,0.0784313725490196,0.625,0.8326630296697419,0.5051418509159082,0.5287437500000001
BBBP,random_forest_morgan,REVIEW,38,0.1862745098039215,0.6052631578947368,0.3483806512987918,0.8258096743506042,0.3126921052631578
ClinTox,logistic_rdkit_descriptors,HIGH,17,0.1148648648648648,0.9411764705882352,0.1256590465012691,0.8820950873847796,0.7085529411764706
ClinTox,logistic_rdkit_descriptors,MEDIUM,61,0.4121621621621621,0.8524590163934426,0.3547034967473632,0.7374726227110845,0.5080819672131147
ClinTox,logistic_rdkit_descriptors,LOW,33,0.2229729729729729,0.5454545454545454,0.8790721744039919,0.4966428720715425,0.5124757575757576
ClinTox,logistic_rdkit_descriptors,REVIEW,37,0.25,0.6756756756756757,0.5246638112398935,0.6107775196020828,0.2939783783783783
ClinTox,random_forest_morgan,HIGH,45,0.304054054054054,1.0,0.0823748387873192,0.9588125806063402,0.6813688888888888
ClinTox,random_forest_morgan,MEDIUM,65,0.4391891891891892,0.953846153846154,0.1341194989824196,0.9329402505087904,0.4373707692307693
ClinTox,random_forest_morgan,LOW,1,0.0067567567567567,0.0,0.9080853798223106,0.4540426899111553,0.8594
ClinTox,random_forest_morgan,REVIEW,37,0.25,0.972972972972973,0.1525447270631392,0.9237276364684304,0.2939783783783783
Tox21,logistic_rdkit_descriptors,HIGH,74,0.1019283746556473,0.8378378378378378,0.2093592919490958,0.2557549256367747,0.7902202702702702
Tox21,logistic_rdkit_descriptors,MEDIUM,378,0.5206611570247934,0.8571428571428571,0.4632930295395222,0.3169948838161012,0.6012931216931218
Tox21,logistic_rdkit_descriptors,LOW,198,0.2727272727272727,0.5606060606060606,0.8474819092495194,0.4790641375055435,0.5094565656565656
Tox21,logistic_rdkit_descriptors,REVIEW,76,0.1046831955922865,0.6578947368421053,0.4972504106539107,0.4214277240569661,0.2967565789473684
Tox21,random_forest_morgan,HIGH,306,0.4214876033057851,0.9869281045751634,0.0392122071893876,0.0196061035946938,0.7459160130718954
Tox21,random_forest_morgan,MEDIUM,334,0.4600550964187327,0.9910179640718564,0.0765247997329307,0.0397394457746489,0.4489943113772455
Tox21,random_forest_morgan,LOW,10,0.0137741046831955,0.6,0.8581088442492616,0.4813865586882356,0.84231
Tox21,random_forest_morgan,REVIEW,76,0.1046831955922865,1.0,0.0697539628375968,0.0348769814187984,0.2967565789473684
