endpoint,metric,classical_best_model,classical_best_value,multitask_model,multitask_value,delta_multitask_minus_classical,verdict
hERG,roc_auc,random_forest_morgan,0.8856015779092703,multitask_morgan_mlp,0.7928994082840237,-0.09270216962524658,CLASSICAL_WIN
hERG,average_precision,random_forest_morgan,0.9182724729586262,multitask_morgan_mlp,0.8531715468791221,-0.06510092607950413,CLASSICAL_WIN
hERG,balanced_accuracy,logistic_rdkit_descriptors,0.7948717948717949,multitask_morgan_mlp,0.5256410256410257,-0.2692307692307693,CLASSICAL_WIN
hERG,f1,logistic_rdkit_descriptors,0.8055555555555556,multitask_morgan_mlp,0.7524752475247525,-0.0530803080308031,CLASSICAL_WIN
hERG,accuracy,logistic_rdkit_descriptors,0.7846153846153846,multitask_morgan_mlp,0.6153846153846154,-0.16923076923076918,CLASSICAL_WIN
hERG,brier_score,logistic_rdkit_descriptors,0.150876252177179,multitask_morgan_mlp,0.2300316430550631,0.07915539087788409,CLASSICAL_WIN
BBBP,roc_auc,logistic_rdkit_descriptors,0.8730864197530864,multitask_morgan_mlp,0.7446913580246913,-0.1283950617283951,CLASSICAL_WIN
BBBP,average_precision,logistic_rdkit_descriptors,0.9386946055941616,multitask_morgan_mlp,0.8793767865536013,-0.05931781904056033,CLASSICAL_WIN
BBBP,balanced_accuracy,logistic_rdkit_descriptors,0.8366666666666667,multitask_morgan_mlp,0.6511111111111112,-0.18555555555555547,CLASSICAL_WIN
BBBP,f1,random_forest_morgan,0.8909090909090909,multitask_morgan_mlp,0.7832167832167832,-0.10769230769230764,CLASSICAL_WIN
BBBP,accuracy,logistic_rdkit_descriptors,0.8382352941176471,multitask_morgan_mlp,0.696078431372549,-0.1421568627450981,CLASSICAL_WIN
BBBP,brier_score,random_forest_morgan,0.12903869925861,multitask_morgan_mlp,0.229041410692505,0.100002711433895,CLASSICAL_WIN
ClinTox,roc_auc,random_forest_morgan,0.9375,multitask_morgan_mlp,0.7430555555555556,-0.19444444444444442,CLASSICAL_WIN
ClinTox,average_precision,random_forest_morgan,0.998218899527152,multitask_morgan_mlp,0.9913491858705584,-0.006869713656593612,CLASSICAL_WIN
ClinTox,balanced_accuracy,logistic_rdkit_descriptors,0.8715277777777778,multitask_morgan_mlp,0.5590277777777778,-0.3125,CLASSICAL_WIN
ClinTox,f1,random_forest_morgan,0.9828178694158076,multitask_morgan_mlp,0.2111801242236025,-0.7716377451922052,CLASSICAL_WIN
ClinTox,accuracy,random_forest_morgan,0.9662162162162162,multitask_morgan_mlp,0.1418918918918918,-0.8243243243243245,CLASSICAL_WIN
ClinTox,brier_score,random_forest_morgan,0.0263288581256614,multitask_morgan_mlp,0.2810229644700789,0.2546941063444175,CLASSICAL_WIN
Tox21,roc_auc,logistic_rdkit_descriptors,0.7124301675977653,multitask_morgan_mlp,0.6358938547486033,-0.07653631284916207,CLASSICAL_WIN
Tox21,average_precision,random_forest_morgan,0.2601507574411285,multitask_morgan_mlp,0.3152853286108801,0.05513457116975162,MULTITASK_WIN
Tox21,balanced_accuracy,random_forest_morgan,0.6472067039106145,multitask_morgan_mlp,0.6269553072625699,-0.02025139664804465,CLASSICAL_WIN
Tox21,f1,random_forest_morgan,0.3529411764705882,multitask_morgan_mlp,0.1304347826086956,-0.2225063938618926,CLASSICAL_WIN
Tox21,accuracy,random_forest_morgan,0.9848484848484848,multitask_morgan_mlp,0.9449035812672176,-0.03994490358126712,CLASSICAL_WIN
Tox21,brier_score,random_forest_morgan,0.0143355980130524,multitask_morgan_mlp,0.1049256074061919,0.0905900093931395,CLASSICAL_WIN
