day,n_treatment,n_control,prob_treatment_better,treatment_rate,control_rate
1,408,416,0.6529,0.75,0.7379807692307693
2,811,784,0.86035,0.7768187422934648,0.7538265306122449
3,1267,1212,0.9662,0.7719021310181531,0.740924092409241
4,1673,1658,0.95895,0.7698744769874477,0.744270205066345
5,2129,2084,0.99715,0.7782996712071395,0.741362763915547
6,2582,2472,0.99945,0.7804027885360186,0.741504854368932
7,3008,2899,0.9998,0.78125,0.7412901000344947
8,3426,3323,0.9996,0.7755399883245767,0.737887451098405
9,3860,3721,1.0,0.7766839378238342,0.7379736629938188
10,4294,4123,1.0,0.7745691662785282,0.733446519524618
11,4724,4532,1.0,0.7739204064352244,0.733892321270962
12,5146,4966,1.0,0.7739992226972405,0.7368103101087394
13,5562,5426,1.0,0.7743617403811579,0.7349797272392186
14,5988,5854,1.0,0.7715430861723447,0.736419542193372
15,6413,6286,1.0,0.7704662404490877,0.7375119312758511
16,6808,6697,1.0,0.7693889541715628,0.7364491563386591
17,7195,7109,1.0,0.7670604586518416,0.7337178224785483
18,7586,7548,1.0,0.7679936725547061,0.7313195548489666
19,8018,7960,1.0,0.7649039660763283,0.732537688442211
20,8409,8350,1.0,0.7644190748008086,0.7317365269461078
21,8819,8764,1.0,0.7642589862796235,0.7285486079415792
22,9257,9159,1.0,0.7641784595441288,0.7275903482912982
23,9675,9566,1.0,0.7637209302325582,0.7270541501149906
24,10063,9962,1.0,0.7631918910861573,0.7268620758883758
25,10478,10413,1.0,0.7629318572246612,0.7266877941035245
26,10889,10822,1.0,0.7629718064101386,0.7264830900018481
27,11291,11263,1.0,0.7637056062350545,0.72591671845867
28,11699,11681,1.0,0.7641678775963757,0.7251091516137317
29,12098,12089,1.0,0.7626880476111754,0.7241293738109025
30,12525,12475,1.0,0.7640718562874251,0.7240080160320641
