step,selected_arm,posterior_mean_arm_0,pulls_arm_0,posterior_mean_arm_1,pulls_arm_1
100,0,0.7575757575757576,64,0.7631578947368421,36
200,0,0.75,142,0.7166666666666667,58
300,0,0.7291666666666666,190,0.7321428571428571,110
400,1,0.7433628318584071,224,0.7752808988764045,176
500,1,0.743801652892562,240,0.7786259541984732,260
600,0,0.7480916030534351,260,0.7865497076023392,340
700,1,0.7482014388489209,276,0.7816901408450704,424
800,1,0.7566666666666667,298,0.7738095238095238,502
900,0,0.7595307917888563,339,0.7637655417406749,561
1000,0,0.7655860349127181,399,0.7545605306799337,601
1100,0,0.758695652173913,458,0.7562111801242236,642
1200,1,0.7412731006160165,485,0.7545327754532776,715
1300,0,0.7514231499051234,525,0.752895752895753,775
1400,1,0.7415329768270945,559,0.7651245551601423,841
1500,1,0.7439446366782007,576,0.7634989200863931,924
1600,0,0.7457912457912458,592,0.7613861386138614,1008
1700,1,0.7496012759170654,625,0.7585886722376973,1075
1800,0,0.7530120481927711,662,0.7587719298245614,1138
1900,0,0.7489361702127659,703,0.755629691409508,1197
2000,1,0.7473118279569892,742,0.7547619047619047,1258
