"Customer_id","monetary_value","frequency","recency","RFMClass"
"434","0","326.0","2","5"
"111","1","2.0","7","6"
"321","2","75.0","4","5"
"241","3","19.0","1","5"
"443","4","310.0","1","5"
"212","5","36.0","11","5"
"444","6","204.0","1","5"
"442","7","232.0","1","5"
"443","8","214.0","1","5"
"231","9","23.0","3","5"
"241","10","33.0","1","6"
"132","11","2.0","2","5"
"111","12","8.0","6","6"
"331","13","52.0","3","5"
"444","14","287.0","1","5"
"111","15","3.0","13","6"
"333","16","110.0","2","5"
"122","17","8.0","4","5"
"433","18","291.0","3","5"
"144","19","4.0","1","5"
"321","20","51.0","4","5"
"231","21","45.0","2","5"
"332","22","72.0","3","5"
"443","23","311.0","1","5"
"242","24","25.0","1","5"
"133","25","3.0","3","5"
"431","26","315.0","2","5"
"341","27","130.0","1","6"
"332","28","82.0","3","5"
"221","29","22.0","5","5"
"111","30","5.0","6","5"
"411","31","185.0","6","5"
"233","32","29.0","3","5"
"433","33","338.0","2","5"
"111","34","16.0","6","5"
"343","35","80.0","1","5"
"243","36","22.0","1","5"
"322","37","72.0","4","5"
"332","38","64.0","2","5"
"111","39","16.0","15","5"
"231","40","36.0","2","5"
"241","41","46.0","1","5"
"322","42","119.0","4","5"
"444","43","303.0","1","5"
"444","44","323.0","1","5"
"233","45","50.0","2","5"
"441","46","149.0","1","5"
"231","47","22.0","3","5"
"221","48","50.0","5","5"
"211","49","33.0","9","5"
"311","50","79.0","7","6"
"432","51","301.0","3","5"
"332","52","75.0","3","5"
"322","53","67.0","5","5"
"433","54","217.0","3","5"
"211","55","24.0","26","1"
"111","56","3.0","12","5"
"342","57","113.0","1","5"
"343","58","64.0","1","5"
"122","59","16.0","5","5"
"332","60","96.0","3","5"
"111","61","1.0","9","5"
"431","62","163.0","2","5"
"342","63","78.0","1","5"
"443","64","195.0","1","5"
"122","65","12.0","5","5"
"211","66","26.0","12","6"
"121","67","9.0","4","6"
"244","68","43.0","1","5"
"211","69","36.0","18","6"
"221","70","43.0","5","6"
"111","71","1.0","7","6"
"322","72","85.0","4","5"
"331","73","80.0","2","6"
"343","74","100.0","1","5"
"111","75","2.0","19","6"
"131","76","14.0","2","5"
"444","77","367.0","1","5"
"144","78","3.0","1","5"
"221","79","21.0","5","6"
"244","80","22.0","1","5"
"342","81","58.0","1","5"
"443","82","243.0","1","5"
"243","83","44.0","1","5"
"221","84","22.0","4","6"
"434","85","156.0","2","5"
"111","86","11.0","6","6"
"133","87","17.0","3","5"
"342","88","134.0","1","5"
"334","89","53.0","2","5"
"311","90","73.0","6","5"
"221","91","44.0","4","5"
"311","92","58.0","12","5"
"332","93","71.0","2","5"
"332","94","94.0","2","5"
"122","95","2.0","4","5"
"212","96","46.0","7","5"
"112","97","10.0","8","5"
"132","98","8.0","3","5"
"332","99","143.0","3","5"
"111","100","2.0","49","4"
"211","101","31.0","13","6"
"211","102","29.0","9","5"
"111","103","17.0","30","6"
"342","104","54.0","1","5"
"111","105","1.0","20","6"
"211","106","23.0","9","6"
"142","107","4.0","1","5"
"133","108","4.0","3","5"
"221","109","28.0","4","5"
"211","110","23.0","11","6"
"111","111","17.0","13","5"
"211","112","33.0","8","6"
"132","113","10.0","3","5"
"443","114","336.0","1","5"
"111","115","5.0","10","6"
"243","116","39.0","1","5"
"334","117","63.0","2","5"
"433","118","166.0","3","5"
"112","119","10.0","13","5"
"342","120","82.0","1","5"
"233","121","21.0","3","5"
"211","122","23.0","13","6"
